,input_de,output_en,gt_en
0,"Ein Mann mit einem orangefarbenen Hut, der etwas anstarrt.",A man with an orange hat is staring at something.,A man in an orange hat starring at something.
1,Ein Boston Terrier läuft über saftig-grünes Gras vor einem weißen Zaun.,A Boston Terrier runs across lush green grass in front of a,A Boston Terrier is running on lush green grass in front of a white fence.
2,Ein Mädchen in einem Karateanzug bricht ein Brett mit einem Tritt.,A girl in a karate outfit kicks a board.unused,A girl in karate uniform breaking a stick with a front kick.
3,Fünf Leute in Winterjacken und mit Helmen stehen im Schnee mit Schneemobilen im Hintergrund.,Five people wearing winter jackets and helmets are standing in the snow,"Five people wearing winter jackets and helmets stand in the snow, with snowmobiles in the background."
4,Leute Reparieren das Dach eines Hauses.,People are repairing the roof of a house. affor E,People are fixing the roof of a house.
5,"Ein hell gekleideter Mann fotografiert eine Gruppe von Männern in dunklen Anzügen und mit Hüten, die um eine Frau in einem trägerlosen Kleid herum stehen.",A welldressed man photographs a group of men wearing dark,A man in light colored clothing photographs a group of men wearing dark suits and hats standing around a woman dressed in a strapless gown.
6,Eine Gruppe von Menschen steht vor einem Iglu.,A group of people are standing outside an igloo.,A group of people standing in front of an igloo.
7,"Ein Junge in einem roten Trikot versucht, die Home Base zu erreichen, während der Catcher im blauen Trikot versucht, ihn zu fangen.",A boy in a red jersey is trying to reach home base,"A boy in a red uniform is attempting to avoid getting out at home plate, while the catcher in the blue uniform is attempting to catch him."
8,Ein Typ arbeitet an einem Gebäude.,A guy is working on a building.assistant,A guy works on a building.
9,Ein Mann in einer Weste sitzt auf einem Stuhl und hält Magazine.,A man in a suit sitting on a chair holding magazines.,A man in a vest is sitting in a chair and holding magazines.
10,Eine Mutter und ihr kleiner Sohn genießen einen schönen Tag im Freien.,A mother and her young son enjoy a nice day outside.,A mother and her young song enjoying a beautiful day outside.
11,"Männer, die Volleyball spielen, wobei ein Mann den Ball nicht trifft, während seine Hände immer noch in der Luft sind.",Men playing volleyball while a man does not hit the ball and,"Men playing volleyball, with one player missing the ball but hands still in the air."
12,"Eine Frau, die in einer Küche eine Schale mit Essen hält.",A woman holding a bowl of food in the kitchen.,A woman holding a bowl of food in a kitchen.
13,"Ein sitzender Mann, der an einem Tisch in seinem Haus mit einem Werkzeug arbeitet.",A man sitting at a table working with some tool in his,Man sitting using tool at a table in his home.
14,Drei Leute sitzen in einer Höhle.,,Three people sit in a cave.
15,Ein Mädchen in einem Jeanskleid läuft über einen erhöhten Schwebebalken.,A girl in a jean outfit is walking on a elevated swing,A girl in a jean dress is walking along a raised balance beam.
16,Eine Blondine hält mit einem Mann im Sand Händchen.,A blond woman holds hands with a man in the sand.,A blond holding hands with a guy in the sand.
17,Eine Frau in einem Grauen Pulli und mit einer schwarzen Baseballmütze steht in einem Geschäft in der Schlange.,A woman wearing a gray coat and black baseball cap is standing,A woman in a gray sweater and black baseball cap is standing in line at a shop.
18,Die Person im gestreiften Shirt klettert auf einen Berg.,The person in the striped shirt is climbing a mountain.unused,The person in the striped shirt is mountain climbing.
19,"Zwei Männer tun so als seien sie Statuen, während Frauen ihnen zusehen.",Two men pose as statues while women watch them.,Two men pretend to be statutes while women look on.
20,"Leute, die vor einem Gebäude stehen.",People standing in front of a building.assistant,People standing outside of a building.
21,Eine Teenagerin spielt bei einem Spiel Trompete auf dem Feld.,A teenage girl plays the trombone while playing a game on the,A teenager plays her trumpet on the field at a game.
22,Eine Frau macht einen Salto auf einem Trampolin am Strand.,A woman is doing a jump on a trampoline at the beach,A woman does a somersault on a trampoline on the beach.
23,Ein Mann steht bei einigen Spielautomaten in einer Bar.,A man stands at some slot machines inside a bar.,A man is standing by a group of video games in a bar.
24,Eine Frau verwendet eine Bohrmaschine während ein Mann sie fotografiert.,A woman is using a drill while a man takes her picture,A woman uses a drill while another man takes her picture.
25,Eine Frau in einem pinken Pulli und einer Schürze putzt einen Tisch mit einem Schwamm.,A woman wearing a pink apron and skirt is wiping down a,"A woman in a pink sweater and an apron, cleaning a table with a sponge."
26,Ein Mann schneidet Äste von Bäumen.,A man is cutting branches from trees.assistant,A man cutting branches of trees.
27,"Eine Gruppe Asiatischer Jungen wartet am Grill darauf, dass Fleisch gar wird.",A group of asian boys are waiting for meat to cook on,Group of Asian boys wait for meat to cook over barbecue.
28,"Frauen, die traditionelle Kleidung tragen, spielen das Leben Einheimischer nach.",Women dressed in traditional garb play the life of local residents.,"Women, wearing traditional clothing, are reenacting native life."
29,Ein Mann drückt den Kopf eines anderen Mannes nach unten und will ihm ins Gesicht schlagen.,A man is putting his head down on another mans,One man holds another man's head down and prepares to punch him in the face.
30,Sechs Leute fahren Mountainbikes durch eine Dschungellandschaft.,Six people are riding mountain bikes through a jungle landscape.,Six people ride mountain bikes through a jungle environment.
31,2 blonde Mädchen sitzen auf einem Absatz auf einem belebten Platz.,Two blond girls sit on a ledge of a crowded plaza.,2 blond girls are sitting on a ledge in a crowded plaza.
32,Ein Kind planscht im Wasser.,A child splashing in the water. affor unusedE,A child is splashing in the water
33,"Drei Leute sitzen an einem Picknicktisch vor einem Gebäude, das wie der Union Jack bemalt ist.",Three people sitting at a picnic table outside of a building painted,Three people sit at a picnic table outside of a building painted like a union jack.
34,3 Jungen stehen in ihren Badehosen auf einem Pier.,Three boys standing on a pier in their bathing suits.,3 boys are standing on a pier in their bathing suits.
35,"Ein Angestellter reicht einer Frau auf einem Markt eine Tüte, während sie auf Eis gelegten Fisch begutachtet.",A store employee handing a bag to a woman on a market,An employee is handing a woman a bag while she is browsing through fish on ice at a street market.
36,Eine schöne Frau spielt auf einer Harfe.,A beautiful woman is playing the harp.assistant,A pretty woman plays a harpsichord.
37,Vor einem Gebäude sieht ein uniformierter Sicherheitsbeamter hinter einem Zaun in die Kamera.,A uniformed security officer behind a fence looking into the camera at,"Outside a building, a uniformed security guard looks at the camera from behind a fence."
38,Die junge Dame sieht auf die Pizza.,The young lady is looking at the pizza.unused,The young lady is looking at the pizza.
39,Ein Mann mit freiem Oberkörper und Shorts steht auf ein paar Steinen und angelt.,A man with a bare chest and shorts is standing on some,A shirtless man in shorts is fishing while standing on some rocks.
40,Ein Mädchen in einer Rettungsweste treibt im Wasser.,A girl in a life jacket is swimming.,A girl wearing a life vest floats in water.
41,Ein Mann in Uniform und ein Mann in einem blauen Hemd stehen vor einem Wagen.,A man in uniform and a man in a blue shirt are,A man in uniform and a man in a blue shirt are standing in front of a truck.
42,Leute sitzen in einem Zug.,People are sitting on a train. affor unused,People sit inside a train.
43,Ein Junge schaukelt mit den Füßen in der Luft in einem Wald.,A boy is swinging his feet in the air in a forest,A kid swings with his feet up in the air in a forest.
44,Ein Mann in einem roten Hemd betritt ein Etablissement.,A man wearing a red shirt enters a establishment. affor,A man in a red shirt entering an establishment.
45,Zwei Männer in Badehosen springen auf einem mäßig belebten Strand in die Luft.,Two men in swimsuits are jumping into the air on a,Two men wearing swim trunks jump in the air at a moderately populated beach.
46,Ein kleines Kind kocht mit einer anderen Person.,A little kid cooking with another person.assistant,A toddler is cooking with another person.
47,Eine Vaterfigur und zwei Kinder machen vor ihrem Zuhause Gartenarbeit wie den Rasen mit einer Gartenhacke zu bearbeiten und einen Baum zu pflanzen.,A father figure and two children are doing yard work like mowing,A father-figure and two children outside their home doing yard work such as using a hoe on the grass and planting a tree.
48,Ein Mann bereitet am Herd Essen zu.,A man is preparing food on the stove.,A man cooking food on the stove.
49,Ein Mann in Jeans spielt an einem Strand mit einem roten Ball.,A man in jeans is playing with a red ball on a,A man in jeans at the beach playing with a red ball.
50,Leute gehen auf einem Gehsteig neben einer Reihe von Geschäften.,People walking on a sidewalk next to a line of shops.,People walking down sidewalk next to a line of stores.
51,Ein Wakeboarder macht einen Salto während er bei hoher Geschwindigkeit an einem Seil gezogen wird.,A wakeboarder is jumping while being pulled by a rope,A wakeboarder performs a flip while being towed at high speed.
52,Eine große Menschenmenge füllt eine Straße.,,A large group of people fill a street.
53,Ein Mann an einem Halteseil geht ins Wasser.,A man on a floating dock is walking into the water.,A man on a tag line going into the water.
54,"Eine Frau in Jeans läuft vor einem Bus vorbei, auf dem eine Werbung eine Frau zeigt, die über den Rand ihrer Sonnenbrille blickt.",A woman in jeans is walking in front of a bus that,A woman in jeans walks by a bus with an ad depicting a woman peering over her sunglasses.
55,Ein Mann in einem pinken Hemd sitzt auf dem Gras und ein Ball ist in der Luft.,A man wearing a pink shirt is sitting on the grass while,A man in a pink shirt is sitting in the grass and a ball is in the air.
56,Ein am Strand geparktes Auto.,,A car parked at the beach.
57,Zwei Männer in Schwarz in einer Stadt,"Two men in black, one with a briefcase, are walking",Two men wearing black in a city
58,Der Mann in der gelben Hose hebt seine Arme.,The man in the yellow pants is lifting his arms.,The man in the yellow pants is raising his arms.
59,Zwei Männer mit Hüten und Spazierstöcken schlendern neben einem Gewässer bei Sonnenuntergang.,Two men with hats and walking sticks stroll by a body of,Two men wearing hats and using walking sticks are walking near a body of water during sundown.
60,Ein Cheerleaderteam macht eine Übung auf Stühlen.,A cheerleading team is practicing on chairs.,A cheerleading team doing a routine on chairs.
61,Ein Junge spielt mit einem Erwachsenen außerhalb des Bildes Dame während ein Mädchen zusieht.,A boy is playing with an adult outside of the frame while,A boy is playing checkers with an adult shown off-screen while a girl looks on.
62,"Eine Gruppe Menschen, die sich in einem öffentlichen Park amüsieren wollen.",A group of people are having fun while relaxing on a public,A crowd of people out for some fun in public park.
63,Ein Mann sitzt auf einer Bank während er seinen Hund hält und aufs Wasser blickt.,A man sitting on a bench while holding his dog looking at,A man sits on a bench holding his dog and looking at the water.
64,Ein Junge und sein jüngerer Bruder spielen gemeinsam auf einem Spielplatz.,A boy and his younger brother are playing together on a playground,A boy and his younger brother playing together at the playground.
65,Ein blau gekleidete Frau sieht in eine schwarze Ledertasche während sie an einem sonnigen Nachmittag auf einer Bank sitzt und Menschen und Autos hinter ihr vorbeiziehen.,A woman dressed in blue is looking into a black briefcase while,A woman in blue looks in a black leather bag while sitting on a bench during a sunny afternoon while people and limousines passed behind her.
66,Der braune Hund steht auf dem Sandstrand.,The brown dog is standing on the sand beach.,The brown dog is standing on the sandy beach.
