,input_en,output_de,gt_de
0,A man in an orange hat starring at something.,"A man in the yellow shirt starring at something.

a","Ein Mann mit einem orangefarbenen Hut, der etwas anstarrt."
1,A Boston Terrier is running on lush green grass in front of a white fence.,,Ein Boston Terrier läuft über saftig-grünes Gras vor einem weißen Zaun.
2,A girl in karate uniform breaking a stick with a front kick.,,Ein Mädchen in einem Karateanzug bricht ein Brett mit einem Tritt.
3,"Five people wearing winter jackets and helmets stand in the snow, with snowmobiles in the background.",The United States has been a member of the National Guard for,Fünf Leute in Winterjacken und mit Helmen stehen im Schnee mit Schneemobilen im Hintergrund.
4,People are fixing the roof of a house.,,Leute Reparieren das Dach eines Hauses.
5,A man in light colored clothing photographs a group of men wearing dark suits and hats standing around a woman dressed in a strapless gown.,"A man in the dress of women, a group of men","Ein hell gekleideter Mann fotografiert eine Gruppe von Männern in dunklen Anzügen und mit Hüten, die um eine Frau in einem trägerlosen Kleid herum stehen."
6,A group of people standing in front of an igloo.,,Eine Gruppe von Menschen steht vor einem Iglu.
7,"A boy in a red uniform is attempting to avoid getting out at home plate, while the catcher in the blue uniform is attempting to catch him.",the girl in a red uniform is attempting to get out at,"Ein Junge in einem roten Trikot versucht, die Home Base zu erreichen, während der Catcher im blauen Trikot versucht, ihn zu fangen."
8,A guy works on a building.,"The film was made by:
A girl with an idea",Ein Typ arbeitet an einem Gebäude.
9,A man in a vest is sitting in a chair and holding magazines.,,Ein Mann in einer Weste sitzt auf einem Stuhl und hält Magazine.
10,A mother and her young song enjoying a beautiful day outside.,,Eine Mutter und ihr kleiner Sohn genießen einen schönen Tag im Freien.
11,"Men playing volleyball, with one player missing the ball but hands still in the air.",,"Männer, die Volleyball spielen, wobei ein Mann den Ball nicht trifft, während seine Hände immer noch in der Luft sind."
12,A woman holding a bowl of food in a kitchen.,,"Eine Frau, die in einer Küche eine Schale mit Essen hält."
13,Man sitting using tool at a table in his home.,:,"Ein sitzender Mann, der an einem Tisch in seinem Haus mit einem Werkzeug arbeitet."
