de,en,predicted_de,predicted_en
"Ein Mann mit einem orangefarbenen Hut, der etwas anstarrt.",A man in an orange hat starring at something.,,"A man with a red hat who was standing still.
"
Ein Boston Terrier läuft über saftig-grünes Gras vor einem weißen Zaun.,A Boston Terrier is running on lush green grass in front of a white fence.,,"A Boston terrier is running over a sunny green grass before a white fence.
"
Ein Mädchen in einem Karateanzug bricht ein Brett mit einem Tritt.,A girl in karate uniform breaking a stick with a front kick.,,"A girl in a karate class breaks her arm during practice.
"
Fünf Leute in Winterjacken und mit Helmen stehen im Schnee mit Schneemobilen im Hintergrund.,"Five people wearing winter jackets and helmets stand in the snow, with snowmobiles in the background.",,"Five people are sitting around a campfire with horses and snowmobiles nearby.
"
Leute Reparieren das Dach eines Hauses.,People are fixing the roof of a house.,,"People are repairing the roof of a house.
"
"Ein hell gekleideter Mann fotografiert eine Gruppe von Männern in dunklen Anzügen und mit Hüten, die um eine Frau in einem trägerlosen Kleid herum stehen.",A man in light colored clothing photographs a group of men wearing dark suits and hats standing around a woman dressed in a strapless gown.,,A beautiful man photographed a group of men posing nude on the beach and holding hands with each other while
Eine Gruppe von Menschen steht vor einem Iglu.,A group of people standing in front of an igloo.,,"A group of people stands at the entrance.
"
"Ein Junge in einem roten Trikot versucht, die Home Base zu erreichen, während der Catcher im blauen Trikot versucht, ihn zu fangen.","A boy in a red uniform is attempting to avoid getting out at home plate, while the catcher in the blue uniform is attempting to catch him.",,"A young man tries to reach home base while the catcher on red stands up and catches him.
"
Ein Typ arbeitet an einem Gebäude.,A guy works on a building.,,"A typist works in a building.
"
Ein Mann in einer Weste sitzt auf einem Stuhl und hält Magazine.,A man in a vest is sitting in a chair and holding magazines.,,"A man is sitting on a chair and reads a magazine.
"
Eine Mutter und ihr kleiner Sohn genießen einen schönen Tag im Freien.,A mother and her young song enjoying a beautiful day outside.,,"A mother and her son enjoy a beautiful day in the park.
"
"Männer, die Volleyball spielen, wobei ein Mann den Ball nicht trifft, während seine Hände immer noch in der Luft sind.","Men playing volleyball, with one player missing the ball but hands still in the air.",,Men who play volleyball do not hit the ball with their hands while they are still in the air.
"Eine Frau, die in einer Küche eine Schale mit Essen hält.",A woman holding a bowl of food in a kitchen.,,"A woman who is sitting at a table with food.
"
"Ein sitzender Mann, der an einem Tisch in seinem Haus mit einem Werkzeug arbeitet.",Man sitting using tool at a table in his home.,,"A lazy man who sits at a table in his house with a tool is working.
"
Drei Leute sitzen in einer Höhle.,Three people sit in a cave.,,"Three people are sitting in a hole.
"
Ein Mädchen in einem Jeanskleid läuft über einen erhöhten Schwebebalken.,A girl in a jean dress is walking along a raised balance beam.,,"A girl is walking on a high wire bridge.
"
Eine Blondine hält mit einem Mann im Sand Händchen.,A blond holding hands with a guy in the sand.,,"A blonde woman holds a man's hand in the sand.
"
Eine Frau in einem Grauen Pulli und mit einer schwarzen Baseballmütze steht in einem Geschäft in der Schlange.,A woman in a gray sweater and black baseball cap is standing in line at a shop.,,A woman wearing a gray sweater and holding a black baseball bat is standing inside of an alleyway.
Die Person im gestreiften Shirt klettert auf einen Berg.,The person in the striped shirt is mountain climbing.,,"The person in the windproof shirt is climbing up a mountain.
"
"Zwei Männer tun so als seien sie Statuen, während Frauen ihnen zusehen.",Two men pretend to be statutes while women look on.,,"Two men were sitting there while women watched them.
"
"Leute, die vor einem Gebäude stehen.",People standing outside of a building.,,"People who are waiting for a building stand there.
"
Eine Teenagerin spielt bei einem Spiel Trompete auf dem Feld.,A teenager plays her trumpet on the field at a game.,,"A teenage girl plays the trumpet on the field.
"
Eine Frau macht einen Salto auf einem Trampolin am Strand.,A woman does a somersault on a trampoline on the beach.,,"A woman makes a jump on a trampoline at the beach.
"
Ein Mann steht bei einigen Spielautomaten in einer Bar.,A man is standing by a group of video games in a bar.,,"A man is standing near some vending machines at a bar.
"
Eine Frau verwendet eine Bohrmaschine während ein Mann sie fotografiert.,A woman uses a drill while another man takes her picture.,,"A woman is using a camera while taking pictures of a man.
"
Eine Frau in einem pinken Pulli und einer Schürze putzt einen Tisch mit einem Schwamm.,"A woman in a pink sweater and an apron, cleaning a table with a sponge.",,"A woman is sitting on a chair with her legs crossed and holding a book under her arm.
"
Ein Mann schneidet Äste von Bäumen.,A man cutting branches of trees.,,"A man is cutting wood from trees.
"
"Eine Gruppe Asiatischer Jungen wartet am Grill darauf, dass Fleisch gar wird.",Group of Asian boys wait for meat to cook over barbecue.,,"A group of Asian boys went out for dinner and ordered a lot of meat.
"
"Frauen, die traditionelle Kleidung tragen, spielen das Leben Einheimischer nach.","Women, wearing traditional clothing, are reenacting native life.",,"Women who wear traditional clothing play the game of life in Heidelberg dialect.
"
Ein Mann drückt den Kopf eines anderen Mannes nach unten und will ihm ins Gesicht schlagen.,One man holds another man's head down and prepares to punch him in the face.,,A man pulls the head of another man backwards towards his chest and attempts to grab him by the neck
Sechs Leute fahren Mountainbikes durch eine Dschungellandschaft.,Six people ride mountain bikes through a jungle environment.,,"Six people are riding mountain bikes through a forest trail.
"
2 blonde Mädchen sitzen auf einem Absatz auf einem belebten Platz.,2 blond girls are sitting on a ledge in a crowded plaza.,,"Two beautiful girls are sitting on an empty bench in a deserted place.
"
Ein Kind planscht im Wasser.,A child is splashing in the water,,"A child builds a sandcastle in the water.
"
"Drei Leute sitzen an einem Picknicktisch vor einem Gebäude, das wie der Union Jack bemalt ist.",Three people sit at a picnic table outside of a building painted like a union jack.,,"Three people are sitting at a picnic table near a building that looks like the British flag.
"
3 Jungen stehen in ihren Badehosen auf einem Pier.,3 boys are standing on a pier in their bathing suits.,,"Three boys are wearing their pajamas on the bed.
"
"Ein Angestellter reicht einer Frau auf einem Markt eine Tüte, während sie auf Eis gelegten Fisch begutachtet.",An employee is handing a woman a bag while she is browsing through fish on ice at a street market.,,"A customer took an apple from the market while eating it raw.
"
Eine schöne Frau spielt auf einer Harfe.,A pretty woman plays a harpsichord.,,"A beautiful woman is playing the flute.
"
Vor einem Gebäude sieht ein uniformierter Sicherheitsbeamter hinter einem Zaun in die Kamera.,"Outside a building, a uniformed security guard looks at the camera from behind a fence.",,"Before entering a building, you see an armed security guard behind a fence near the camera.
"
Die junge Dame sieht auf die Pizza.,The young lady is looking at the pizza.,,"The young girl is looking at the pizza.
"
Ein Mann mit freiem Oberkörper und Shorts steht auf ein paar Steinen und angelt.,A shirtless man in shorts is fishing while standing on some rocks.,,"A man with an ample torso and shorts is standing on two stones and pointing.
"
Ein Mädchen in einer Rettungsweste treibt im Wasser.,A girl wearing a life vest floats in water.,,"A girl jumps into the water.
"
Ein Mann in Uniform und ein Mann in einem blauen Hemd stehen vor einem Wagen.,A man in uniform and a man in a blue shirt are standing in front of a truck.,,A man wearing a uniform and another man standing next to him have their hands on the steering wheel of
Leute sitzen in einem Zug.,People sit inside a train.,,"People are sitting on a bus.
"
Ein Junge schaukelt mit den Füßen in der Luft in einem Wald.,A kid swings with his feet up in the air in a forest.,,"A young boy kicks a ball into the air in a forest.
"
Ein Mann in einem roten Hemd betritt ein Etablissement.,A man in a red shirt entering an establishment.,,"A man entered a green building.
"
Zwei Männer in Badehosen springen auf einem mäßig belebten Strand in die Luft.,Two men wearing swim trunks jump in the air at a moderately populated beach.,,"Two men in bathing trunks ran on an empty beach.
"
Ein kleines Kind kocht mit einer anderen Person.,A toddler is cooking with another person.,,"A small child is playing with another person.
"
Eine Vaterfigur und zwei Kinder machen vor ihrem Zuhause Gartenarbeit wie den Rasen mit einer Gartenhacke zu bearbeiten und einen Baum zu pflanzen.,A father-figure and two children outside their home doing yard work such as using a hoe on the grass and planting a tree.,,"A father and two children are working in their garden, planting seeds with a hoe and watering a"
Ein Mann bereitet am Herd Essen zu.,A man cooking food on the stove.,,"A man is waiting for his food at the table.
"
Ein Mann in Jeans spielt an einem Strand mit einem roten Ball.,A man in jeans at the beach playing with a red ball.,,"A man is playing soccer on a beach with a red ball.
"
Leute gehen auf einem Gehsteig neben einer Reihe von Geschäften.,People walking down sidewalk next to a line of stores.,,"People go for a walk next to a row of houses.
"
Ein Wakeboarder macht einen Salto während er bei hoher Geschwindigkeit an einem Seil gezogen wird.,A wakeboarder performs a flip while being towed at high speed.,,"A wakeboard rider makes a jump while riding with high speed on a board.
"
Eine große Menschenmenge füllt eine Straße.,A large group of people fill a street.,,"A large crowd fills a street.
"
Ein Mann an einem Halteseil geht ins Wasser.,A man on a tag line going into the water.,,"A man walks along a beach.
"
"Eine Frau in Jeans läuft vor einem Bus vorbei, auf dem eine Werbung eine Frau zeigt, die über den Rand ihrer Sonnenbrille blickt.",A woman in jeans walks by a bus with an ad depicting a woman peering over her sunglasses.,,A woman is walking out of the bus stop wearing jeans and looking at her reflection on her sunglasses.
Ein Mann in einem pinken Hemd sitzt auf dem Gras und ein Ball ist in der Luft.,A man in a pink shirt is sitting in the grass and a ball is in the air.,,"A man sits on the grass and a ball flies in the air.
"
Ein am Strand geparktes Auto.,A car parked at the beach.,,"A car parked at the beach was seen by me.
"
Zwei Männer in Schwarz in einer Stadt,Two men wearing black in a city,,"Two men in black in a city
"
