,input_en,output_de,gt_de
0,A man in an orange hat starring at something.,Ein Mann mit einem orangen Hut starrt auf etwas hin,"Ein Mann mit einem orangefarbenen Hut, der etwas anstarrt."
1,A Boston Terrier is running on lush green grass in front of a white fence.,Ein Boston-Terrier rennt auf einem grünen Rasen vor,Ein Boston Terrier läuft über saftig-grünes Gras vor einem weißen Zaun.
2,A girl in karate uniform breaking a stick with a front kick.,Ein Mädchen im Karate-Anzug breitet einen Stock mit,Ein Mädchen in einem Karateanzug bricht ein Brett mit einem Tritt.
3,"Five people wearing winter jackets and helmets stand in the snow, with snowmobiles in the background.","Fünf Personen mit Winterjacken und Helm stehen im Schnee,",Fünf Leute in Winterjacken und mit Helmen stehen im Schnee mit Schneemobilen im Hintergrund.
4,People are fixing the roof of a house.,"Menschen reparieren den Dach eines Hauses.<unused64>
�assistant",Leute Reparieren das Dach eines Hauses.
5,A man in light colored clothing photographs a group of men wearing dark suits and hats standing around a woman dressed in a strapless gown.,Ein Mann mit hellfarbener Kleidung fotografiert eine Gruppe von,"Ein hell gekleideter Mann fotografiert eine Gruppe von Männern in dunklen Anzügen und mit Hüten, die um eine Frau in einem trägerlosen Kleid herum stehen."
6,A group of people standing in front of an igloo.,"Eine Gruppe Menschen steht vor einem Iglu.�
q",Eine Gruppe von Menschen steht vor einem Iglu.
7,"A boy in a red uniform is attempting to avoid getting out at home plate, while the catcher in the blue uniform is attempting to catch him.","Ein Junge in einem roten Trikot versucht zu vermeiden, dass","Ein Junge in einem roten Trikot versucht, die Home Base zu erreichen, während der Catcher im blauen Trikot versucht, ihn zu fangen."
8,A guy works on a building.,"Ein Mann arbeitet an einem Gebäude.0
+assistant",Ein Typ arbeitet an einem Gebäude.
9,A man in a vest is sitting in a chair and holding magazines.,Ein Mann mit Weste sitzt auf einem Stuhl und hält Zeitschrift,Ein Mann in einer Weste sitzt auf einem Stuhl und hält Magazine.
10,A mother and her young song enjoying a beautiful day outside.,Eine Mutter und ihr junges Kind genießen einen schönen Tag im,Eine Mutter und ihr kleiner Sohn genießen einen schönen Tag im Freien.
11,"Men playing volleyball, with one player missing the ball but hands still in the air.",Männer spielen Volleyball und einer Spieler hat den Ball noch im Hand,"Männer, die Volleyball spielen, wobei ein Mann den Ball nicht trifft, während seine Hände immer noch in der Luft sind."
12,A woman holding a bowl of food in a kitchen.,Eine Frau hält eine Schüssel mit Essen im Küchenbereich.,"Eine Frau, die in einer Küche eine Schale mit Essen hält."
13,Man sitting using tool at a table in his home.,Ein Mann sitzt im Haus und benutzt ein Werkzeug auf einem Tisch,"Ein sitzender Mann, der an einem Tisch in seinem Haus mit einem Werkzeug arbeitet."
14,Three people sit in a cave.,"Drei Personen sitzen in einer Höhle.0
�assistant",Drei Leute sitzen in einer Höhle.
15,A girl in a jean dress is walking along a raised balance beam.,Ein Mädchen im Jeankleid läuft auf einem gehobenen Bal,Ein Mädchen in einem Jeanskleid läuft über einen erhöhten Schwebebalken.
16,A blond holding hands with a guy in the sand.,Eine blonde Frau hält sich mit einem Typen im Sand die Hand,Eine Blondine hält mit einem Mann im Sand Händchen.
17,A woman in a gray sweater and black baseball cap is standing in line at a shop.,Eine Frau mit grauer Pulloarn und schwarzer Baseball,Eine Frau in einem Grauen Pulli und mit einer schwarzen Baseballmütze steht in einem Geschäft in der Schlange.
18,The person in the striped shirt is mountain climbing.,Die Person im gestreiften Hemd macht Bergwandern,Die Person im gestreiften Shirt klettert auf einen Berg.
19,Two men pretend to be statutes while women look on.,"Zwei Männer spielen Statuen, während Frauen zuschauen.�","Zwei Männer tun so als seien sie Statuen, während Frauen ihnen zusehen."
20,People standing outside of a building.,"Personen stehen vor einem Gebäude.�
<unused64>assistant
Le","Leute, die vor einem Gebäude stehen."
21,A teenager plays her trumpet on the field at a game.,Ein Jugendlicher spielt auf dem Spielfeld bei einem Wettkampf,Eine Teenagerin spielt bei einem Spiel Trompete auf dem Feld.
22,A woman does a somersault on a trampoline on the beach.,Eine Frau macht einen Salto auf einem Trampolin am Strand.,Eine Frau macht einen Salto auf einem Trampolin am Strand.
23,A man is standing by a group of video games in a bar.,Ein Mann steht bei einer Gruppe von Videospielen in einem,Ein Mann steht bei einigen Spielautomaten in einer Bar.
24,A woman uses a drill while another man takes her picture.,"Eine Frau benutzt einen Bohrer, während ein anderer Mann ihr",Eine Frau verwendet eine Bohrmaschine während ein Mann sie fotografiert.
25,"A woman in a pink sweater and an apron, cleaning a table with a sponge.",Eine Frau mit einem rosa Pullover und einer Schürze put,Eine Frau in einem pinken Pulli und einer Schürze putzt einen Tisch mit einem Schwamm.
26,A man cutting branches of trees.,Ein Mann schneidet Zweige von Bäumen.�,Ein Mann schneidet Äste von Bäumen.
27,Group of Asian boys wait for meat to cook over barbecue.,"Eine Gruppe asiatischer Jungen wartet darauf, dass Fleisch über","Eine Gruppe Asiatischer Jungen wartet am Grill darauf, dass Fleisch gar wird."
28,"Women, wearing traditional clothing, are reenacting native life.",Frauen in traditioneller Kleidung führen eine Aufführung von Stammesleben,"Frauen, die traditionelle Kleidung tragen, spielen das Leben Einheimischer nach."
29,One man holds another man's head down and prepares to punch him in the face.,Ein Mann hält einen anderen Mann auf dem Kopf und bereitet,Ein Mann drückt den Kopf eines anderen Mannes nach unten und will ihm ins Gesicht schlagen.
30,Six people ride mountain bikes through a jungle environment.,Sechs Personen fahren Mountainbikes durch eine tropische Umgebung.,Sechs Leute fahren Mountainbikes durch eine Dschungellandschaft.
31,2 blond girls are sitting on a ledge in a crowded plaza.,Zwei blonde Mädchen sitzen auf einer Rampe im überfüllten,2 blonde Mädchen sitzen auf einem Absatz auf einem belebten Platz.
32,A child is splashing in the water,"Ein Kind schwitzt im Wasser.�
qassistant",Ein Kind planscht im Wasser.
33,Three people sit at a picnic table outside of a building painted like a union jack.,"Drei Personen sitzen an einem Picknicktisch vor einem Gebäude,","Drei Leute sitzen an einem Picknicktisch vor einem Gebäude, das wie der Union Jack bemalt ist."
34,3 boys are standing on a pier in their bathing suits.,Drei Jungen stehen im Badeanzug am Pier herum.<unused64>,3 Jungen stehen in ihren Badehosen auf einem Pier.
35,An employee is handing a woman a bag while she is browsing through fish on ice at a street market.,"Ein Angestellter gibt einer Frau ein Handtuch, während","Ein Angestellter reicht einer Frau auf einem Markt eine Tüte, während sie auf Eis gelegten Fisch begutachtet."
36,A pretty woman plays a harpsichord.,Eine hübsche Frau spielt Harpsichord.[,Eine schöne Frau spielt auf einer Harfe.
37,"Outside a building, a uniformed security guard looks at the camera from behind a fence.",Im Freien vor einem Gebäude schaut ein Uniformierter Wachmann aus,Vor einem Gebäude sieht ein uniformierter Sicherheitsbeamter hinter einem Zaun in die Kamera.
38,The young lady is looking at the pizza.,"Die junge Dame schaut auf die Pizza.<unused64>
+assistant",Die junge Dame sieht auf die Pizza.
39,A shirtless man in shorts is fishing while standing on some rocks.,"Ein Mann mit nacktem Oberkörper und kurzer Hose, der",Ein Mann mit freiem Oberkörper und Shorts steht auf ein paar Steinen und angelt.
40,A girl wearing a life vest floats in water.,Ein Mädchen mit Rettungsweste schwimmt im Wasser.<unused64>,Ein Mädchen in einer Rettungsweste treibt im Wasser.
41,A man in uniform and a man in a blue shirt are standing in front of a truck.,Ein Mann im Uniformen und ein anderer Mann mit blau,Ein Mann in Uniform und ein Mann in einem blauen Hemd stehen vor einem Wagen.
42,People sit inside a train.,Leute,Leute sitzen in einem Zug.
43,A kid swings with his feet up in the air in a forest.,Ein Kind schaukelt mit den Füßen hoch im Wald.,Ein Junge schaukelt mit den Füßen in der Luft in einem Wald.
44,A man in a red shirt entering an establishment.,Ein Mann mit rotem Hemd geht eine Einrichtung zu.,Ein Mann in einem roten Hemd betritt ein Etablissement.
45,Two men wearing swim trunks jump in the air at a moderately populated beach.,"Zwei Männer, die Badehose tragen und einen mittelbevol",Zwei Männer in Badehosen springen auf einem mäßig belebten Strand in die Luft.
46,A toddler is cooking with another person.,Ein Kleinkind kocht mit einer anderen Person zusammen.,Ein kleines Kind kocht mit einer anderen Person.
47,A father-figure and two children outside their home doing yard work such as using a hoe on the grass and planting a tree.,"Ein Vater und zwei Kinder machen im Freien Gartenarbeit, wie",Eine Vaterfigur und zwei Kinder machen vor ihrem Zuhause Gartenarbeit wie den Rasen mit einer Gartenhacke zu bearbeiten und einen Baum zu pflanzen.
48,A man cooking food on the stove.,"Ein Mann kocht auf dem Herd.�
0 assistant",Ein Mann bereitet am Herd Essen zu.
49,A man in jeans at the beach playing with a red ball.,Ein Mann im Jeansrock spielt auf dem Strand mit einem roten,Ein Mann in Jeans spielt an einem Strand mit einem roten Ball.
50,People walking down sidewalk next to a line of stores.,Leute gehen auf dem Gehweg neben einer Reihe Geschäfte entlang.,Leute gehen auf einem Gehsteig neben einer Reihe von Geschäften.
51,A wakeboarder performs a flip while being towed at high speed.,"Ein Wakeboard-Fahrer macht einen Salto, während er",Ein Wakeboarder macht einen Salto während er bei hoher Geschwindigkeit an einem Seil gezogen wird.
52,A large group of people fill a street.,"Ein großes Publikum füllt eine Straße auf.�
0",Eine große Menschenmenge füllt eine Straße.
53,A man on a tag line going into the water.,"Ein Mann auf einer Seilbahn, der ins Wasser taucht",Ein Mann an einem Halteseil geht ins Wasser.
54,A woman in jeans walks by a bus with an ad depicting a woman peering over her sunglasses.,Eine Frau im Jeansrock geht neben einem Bus mit einer Werbung,"Eine Frau in Jeans läuft vor einem Bus vorbei, auf dem eine Werbung eine Frau zeigt, die über den Rand ihrer Sonnenbrille blickt."
