,input_de,output_en,gt_en
0,"Ein Mann mit einem orangefarbenen Hut, der etwas anstarrt.",A man in a yellow hat is staring at something.,A man in an orange hat starring at something.
1,Ein Boston Terrier läuft über saftig-grünes Gras vor einem weißen Zaun.,A Boston terrier runs across a field of grass with a,A Boston Terrier is running on lush green grass in front of a white fence.
2,Ein Mädchen in einem Karateanzug bricht ein Brett mit einem Tritt.,A girl wearing a karate uniform breaks through an opening,A girl in karate uniform breaking a stick with a front kick.
3,Fünf Leute in Winterjacken und mit Helmen stehen im Schnee mit Schneemobilen im Hintergrund.,Five people dressed in winter jackets and helmets are,"Five people wearing winter jackets and helmets stand in the snow, with snowmobiles in the background."
4,Leute Reparieren das Dach eines Hauses.,People are repairing the roof of a house.,People are fixing the roof of a house.
5,"Ein hell gekleideter Mann fotografiert eine Gruppe von Männern in dunklen Anzügen und mit Hüten, die um eine Frau in einem trägerlosen Kleid herum stehen.",A man dressed in a dark suit and tie is taking pictures,A man in light colored clothing photographs a group of men wearing dark suits and hats standing around a woman dressed in a strapless gown.
6,Eine Gruppe von Menschen steht vor einem Iglu.,A group of people standing in front of an igloo,A group of people standing in front of an igloo.
7,"Ein Junge in einem roten Trikot versucht, die Home Base zu erreichen, während der Catcher im blauen Trikot versucht, ihn zu fangen.",A young boy wearing a red jersey tries to,"A boy in a red uniform is attempting to avoid getting out at home plate, while the catcher in the blue uniform is attempting to catch him."
8,Ein Typ arbeitet an einem Gebäude.,The type is working on a building.imend,A guy works on a building.
9,Ein Mann in einer Weste sitzt auf einem Stuhl und hält Magazine.,A man is sitting on a stool holding magazines,A man in a vest is sitting in a chair and holding magazines.
10,Eine Mutter und ihr kleiner Sohn genießen einen schönen Tag im Freien.,A mother and her son enjoying a nice day in the,A mother and her young song enjoying a beautiful day outside.
11,"Männer, die Volleyball spielen, wobei ein Mann den Ball nicht trifft, während seine Hände immer noch in der Luft sind.",Two men playing volleyball while holding the ball with their,"Men playing volleyball, with one player missing the ball but hands still in the air."
12,"Eine Frau, die in einer Küche eine Schale mit Essen hält.",A woman holding a bowl of food.im,A woman holding a bowl of food in a kitchen.
13,"Ein sitzender Mann, der an einem Tisch in seinem Haus mit einem Werkzeug arbeitet.",A sitting man working on a piece of wood with tools at,Man sitting using tool at a table in his home.
14,Drei Leute sitzen in einer Höhle.,"Three people are sitting inside a cave, with their backs",Three people sit in a cave.
15,Ein Mädchen in einem Jeanskleid läuft über einen erhöhten Schwebebalken.,A girl wearing a skirt is running over an elev,A girl in a jean dress is walking along a raised balance beam.
16,Eine Blondine hält mit einem Mann im Sand Händchen.,A blonde woman is holding a mans hand in,A blond holding hands with a guy in the sand.
17,Eine Frau in einem Grauen Pulli und mit einer schwarzen Baseballmütze steht in einem Geschäft in der Schlange.,A woman wearing a gray sweater and a black baseball,A woman in a gray sweater and black baseball cap is standing in line at a shop.
18,Die Person im gestreiften Shirt klettert auf einen Berg.,The person in the striped shirt climbing a mountain,The person in the striped shirt is mountain climbing.
19,"Zwei Männer tun so als seien sie Statuen, während Frauen ihnen zusehen.",Two men are posing as statues while women look at,Two men pretend to be statutes while women look on.
20,"Leute, die vor einem Gebäude stehen.",People standing in front of a building. im,People standing outside of a building.
21,Eine Teenagerin spielt bei einem Spiel Trompete auf dem Feld.,A teenage girl is playing the trumpet in,A teenager plays her trumpet on the field at a game.
22,Eine Frau macht einen Salto auf einem Trampolin am Strand.,A woman is doing a salto on a trampoline,A woman does a somersault on a trampoline on the beach.
23,Ein Mann steht bei einigen Spielautomaten in einer Bar.,A man is standing at some slot machines at a bar.,A man is standing by a group of video games in a bar.
24,Eine Frau verwendet eine Bohrmaschine während ein Mann sie fotografiert.,A woman is using a drill while another man photographs,A woman uses a drill while another man takes her picture.
25,Eine Frau in einem pinken Pulli und einer Schürze putzt einen Tisch mit einem Schwamm.,A woman wearing a pink pullover and short,"A woman in a pink sweater and an apron, cleaning a table with a sponge."
26,Ein Mann schneidet Äste von Bäumen.,A man is cutting down branches from trees.,A man cutting branches of trees.
27,"Eine Gruppe Asiatischer Jungen wartet am Grill darauf, dass Fleisch gar wird.",A group of Asian boys are waiting for their meat to be,Group of Asian boys wait for meat to cook over barbecue.
28,"Frauen, die traditionelle Kleidung tragen, spielen das Leben Einheimischer nach.",Women in traditional clothing playing the life of an indigen,"Women, wearing traditional clothing, are reenacting native life."
29,Ein Mann drückt den Kopf eines anderen Mannes nach unten und will ihm ins Gesicht schlagen.,A man is hitting the face of another man with his head,One man holds another man's head down and prepares to punch him in the face.
30,Sechs Leute fahren Mountainbikes durch eine Dschungellandschaft.,Six people are riding mountain bikes through a jung,Six people ride mountain bikes through a jungle environment.
31,2 blonde Mädchen sitzen auf einem Absatz auf einem belebten Platz.,Two young girls sitting on a bench in a busy square,2 blond girls are sitting on a ledge in a crowded plaza.
32,Ein Kind planscht im Wasser.,A child is planning in the water while a parent watches,A child is splashing in the water
33,"Drei Leute sitzen an einem Picknicktisch vor einem Gebäude, das wie der Union Jack bemalt ist.",Three people sitting at a picnic table outside of the building,Three people sit at a picnic table outside of a building painted like a union jack.
34,3 Jungen stehen in ihren Badehosen auf einem Pier.,Three boys are standing on a pier wearing their swimming,3 boys are standing on a pier in their bathing suits.
35,"Ein Angestellter reicht einer Frau auf einem Markt eine Tüte, während sie auf Eis gelegten Fisch begutachtet.",An employee is reaching out to a woman on the market with,An employee is handing a woman a bag while she is browsing through fish on ice at a street market.
36,Eine schöne Frau spielt auf einer Harfe.,A beautiful woman playing a harp.,A pretty woman plays a harpsichord.
37,Vor einem Gebäude sieht ein uniformierter Sicherheitsbeamter hinter einem Zaun in die Kamera.,A uniformed security guard is behind a fence looking into,"Outside a building, a uniformed security guard looks at the camera from behind a fence."
38,Die junge Dame sieht auf die Pizza.,The young lady is looking at the pizza.im,The young lady is looking at the pizza.
39,Ein Mann mit freiem Oberkörper und Shorts steht auf ein paar Steinen und angelt.,A man with a shirtless body stands on some rocks,A shirtless man in shorts is fishing while standing on some rocks.
40,Ein Mädchen in einer Rettungsweste treibt im Wasser.,A girl wearing a life jacket is swimming in,A girl wearing a life vest floats in water.
