en,de,generated_de
A man in an orange hat starring at something.,"Ein Mann mit einem orangefarbenen Hut, der etwas anstarrt.","<|user|>
A man in an orange hat starring at something. 
<|assistant|>:
Ein Mann mit einem orangen Hut starrt auf etwas zu. 
Laut"
A Boston Terrier is running on lush green grass in front of a white fence.,Ein Boston Terrier läuft über saftig-grünes Gras vor einem weißen Zaun.,"<|user|>
A Boston Terrier is running on lush green grass in front of a white fence. 
<|assistant|>:
Ein Bostonter Welpe rennt auf einem grünen Gras vor einer wei"
A girl in karate uniform breaking a stick with a front kick.,Ein Mädchen in einem Karateanzug bricht ein Brett mit einem Tritt.,"<|user|>
A girl in karate uniform breaking a stick with a front kick. 
<|assistant|>:
Ein Mädchen im Karatenschulkleid bricht mit einem Stabsch"
"Five people wearing winter jackets and helmets stand in the snow, with snowmobiles in the background.",Fünf Leute in Winterjacken und mit Helmen stehen im Schnee mit Schneemobilen im Hintergrund.,"<|user|>
Five people wearing winter jackets and helmets stand in the snow, with snowmobiles in the background. 
<|assistant|>:
Drei Personen mit Winterjacken und Helmen stehen im Schnee, während das Sno"
People are fixing the roof of a house.,Leute Reparieren das Dach eines Hauses.,"<|user|>
People are fixing the roof of a house. 
<|assistant|>:
Leute reparieren den Dachdecker eines Hauses. 
Eine Gruppe"
A man in light colored clothing photographs a group of men wearing dark suits and hats standing around a woman dressed in a strapless gown.,"Ein hell gekleideter Mann fotografiert eine Gruppe von Männern in dunklen Anzügen und mit Hüten, die um eine Frau in einem trägerlosen Kleid herum stehen.","<|user|>
A man in light colored clothing photographs a group of men wearing dark suits and hats standing around a woman dressed in a strapless gown. 
<|assistant|>:
Ein Mann mit leuchtend hellfarbenem Kleid fotografiert ein Mädchen"
A group of people standing in front of an igloo.,Eine Gruppe von Menschen steht vor einem Iglu.,"<|user|>
A group of people standing in front of an igloo. 
<|assistant|>:
Eine Gruppe Menschen steht vor einem Igelhaus. 
Kopfbedeckung"
"A boy in a red uniform is attempting to avoid getting out at home plate, while the catcher in the blue uniform is attempting to catch him.","Ein Junge in einem roten Trikot versucht, die Home Base zu erreichen, während der Catcher im blauen Trikot versucht, ihn zu fangen.","<|user|>
A boy in a red uniform is attempting to avoid getting out at home plate, while the catcher in the blue uniform is attempting to catch him. 
<|assistant|>: Ein Junge im roten Uniform versucht zu verlassen den Plateaufturm des"
A guy works on a building.,Ein Typ arbeitet an einem Gebäude.,"<|user|>
A guy works on a building. 
<|assistant|>:
Ein Mann arbeitet an einem Gebäude. 10 cm entfernt sich von seinem"
A man in a vest is sitting in a chair and holding magazines.,Ein Mann in einer Weste sitzt auf einem Stuhl und hält Magazine.,"<|user|>
A man in a vest is sitting in a chair and holding magazines. 
<|assistant|>:
Ein Mann mit Hemd sitzt auf einem Stuhl und hält Zeitschriften an"
