de,en,predicted_de
"Ein Mann mit einem orangefarbenen Hut, der etwas anstarrt.",A man in an orange hat starring at something.,Der Mann im Orange-Hatschütz gegenwärtig übers
Ein Boston Terrier läuft über saftig-grünes Gras vor einem weißen Zaun.,A Boston Terrier is running on lush green grass in front of a white fence.,Un Boxer-Schnauzer am grünen Garten befindet sich un
Ein Mädchen in einem Karateanzug bricht ein Brett mit einem Tritt.,A girl in karate uniform breaking a stick with a front kick.,Eine Mädchen im Karateuniform geht einen Stück bei
Fünf Leute in Winterjacken und mit Helmen stehen im Schnee mit Schneemobilen im Hintergrund.,"Five people wearing winter jackets and helmets stand in the snow, with snowmobiles in the background.",Fünf Personen mit Wintermittel und Hautkette befinden sich
Leute Reparieren das Dach eines Hauses.,People are fixing the roof of a house.,Die Haus hat einen roten Raum fällt zurückgeben
"Ein hell gekleideter Mann fotografiert eine Gruppe von Männern in dunklen Anzügen und mit Hüten, die um eine Frau in einem trägerlosen Kleid herum stehen.",A man in light colored clothing photographs a group of men wearing dark suits and hats standing around a woman dressed in a strapless gown.,Er ein Mann mit schwarzen Kleiden Fotografiereiert e
Eine Gruppe von Menschen steht vor einem Iglu.,A group of people standing in front of an igloo.,"Ein Gruppe von Menschen standt bei einem Igloo.
"
"Ein Junge in einem roten Trikot versucht, die Home Base zu erreichen, während der Catcher im blauen Trikot versucht, ihn zu fangen.","A boy in a red uniform is attempting to avoid getting out at home plate, while the catcher in the blue uniform is attempting to catch him.",Ein Kind im Roten Schußkopf wird eine Mädchen
Ein Typ arbeitet an einem Gebäude.,A guy works on a building.,"Ein Mann arbeitet an einem Haus.
"
Ein Mann in einer Weste sitzt auf einem Stuhl und hält Magazine.,A man in a vest is sitting in a chair and holding magazines.,Ein Mann mit der Schuhe sitzt im Saal und hält Magaz
Eine Mutter und ihr kleiner Sohn genießen einen schönen Tag im Freien.,A mother and her young song enjoying a beautiful day outside.,Das Mutter und ihre junge Chor singen ein bewusstes
"Männer, die Volleyball spielen, wobei ein Mann den Ball nicht trifft, während seine Hände immer noch in der Luft sind.","Men playing volleyball, with one player missing the ball but hands still in the air.",Sie spielen Volleyball mit einem Spieler bei den Ballern und ihn
"Eine Frau, die in einer Küche eine Schale mit Essen hält.",A woman holding a bowl of food in a kitchen.,"Frau mit einem Küchensteg bei dem Haus.
"
"Ein sitzender Mann, der an einem Tisch in seinem Haus mit einem Werkzeug arbeitet.",Man sitting using tool at a table in his home.,"Der Mann sitzt um einem Tool an dem Tisch im Haus.
"
Drei Leute sitzen in einer Höhle.,Three people sit in a cave.,Drei Personen sind im Kängelhölle genommen.
Ein Mädchen in einem Jeanskleid läuft über einen erhöhten Schwebebalken.,A girl in a jean dress is walking along a raised balance beam.,Eine Tochter in der Jeanskurta blüht weiter und steig
Eine Blondine hält mit einem Mann im Sand Händchen.,A blond holding hands with a guy in the sand.,"Der blonde, das Hand mit dem Mann im Strand schreibt.
"
Eine Frau in einem Grauen Pulli und mit einer schwarzen Baseballmütze steht in einem Geschäft in der Schlange.,A woman in a gray sweater and black baseball cap is standing in line at a shop.,Eine Frau in einem grünen Sweater und einer schwarzen Ballcap
Die Person im gestreiften Shirt klettert auf einen Berg.,The person in the striped shirt is mountain climbing.,Der Mensch im schwarzen T-Shirt fählt auf den Berg z
"Zwei Männer tun so als seien sie Statuen, während Frauen ihnen zusehen.",Two men pretend to be statutes while women look on.,"Zwei Männer sprechen einige Statuette, die Frauen"
"Leute, die vor einem Gebäude stehen.",People standing outside of a building.,"Assoziationen an einem Gebäude.
"
Eine Teenagerin spielt bei einem Spiel Trompete auf dem Feld.,A teenager plays her trumpet on the field at a game.,Eine Jungfrau spielt ihre Trompete am Fußball
Eine Frau macht einen Salto auf einem Trampolin am Strand.,A woman does a somersault on a trampoline on the beach.,Eine Frau spielt einen Sommerflüssigkeiten in den
Ein Mann steht bei einigen Spielautomaten in einer Bar.,A man is standing by a group of video games in a bar.,"Der Mann standte unter einem Gruppe von Video-Spielen im Bar.
"
Eine Frau verwendet eine Bohrmaschine während ein Mann sie fotografiert.,A woman uses a drill while another man takes her picture.,Eine Frau mit einem Drill wird seinen Anderen das Bild gezeich
Eine Frau in einem pinken Pulli und einer Schürze putzt einen Tisch mit einem Schwamm.,"A woman in a pink sweater and an apron, cleaning a table with a sponge.","Frauin mit einem roten Schüssel und einer Apron, erl"
Ein Mann schneidet Äste von Bäumen.,A man cutting branches of trees.,"Ein Mann schmeckt Bäumen.
"
"Eine Gruppe Asiatischer Jungen wartet am Grill darauf, dass Fleisch gar wird.",Group of Asian boys wait for meat to cook over barbecue.,"Vier Asienschüler spielen mit dem Grill, um Tofu zu"
"Frauen, die traditionelle Kleidung tragen, spielen das Leben Einheimischer nach.","Women, wearing traditional clothing, are reenacting native life.","Frauen, die traditionelle Kultur beim Reisen erzählen nat"
Ein Mann drückt den Kopf eines anderen Mannes nach unten und will ihm ins Gesicht schlagen.,One man holds another man's head down and prepares to punch him in the face.,"Ein Mann kommt auf dem Anden des anderen Menschen, das se"
Sechs Leute fahren Mountainbikes durch eine Dschungellandschaft.,Six people ride mountain bikes through a jungle environment.,"Sie sind sechs Personen, die Bergbikes im jungen Reisegef"
2 blonde Mädchen sitzen auf einem Absatz auf einem belebten Platz.,2 blond girls are sitting on a ledge in a crowded plaza.,Zwei blonde Mädchen sind im Platz gesittet und verloren
Ein Kind planscht im Wasser.,A child is splashing in the water,"Ein Kind spielt im Wasser.
"
"Drei Leute sitzen an einem Picknicktisch vor einem Gebäude, das wie der Union Jack bemalt ist.",Three people sit at a picnic table outside of a building painted like a union jack.,Drei Personen seit einem Picnicangraben über ein Baum
3 Jungen stehen in ihren Badehosen auf einem Pier.,3 boys are standing on a pier in their bathing suits.,Drei Mädchen standen am Hafen im Urteilnisschl
"Ein Angestellter reicht einer Frau auf einem Markt eine Tüte, während sie auf Eis gelegten Fisch begutachtet.",An employee is handing a woman a bag while she is browsing through fish on ice at a street market.,"Er arbeitet das Mann, bei deminutiven Frauen einen G"
Eine schöne Frau spielt auf einer Harfe.,A pretty woman plays a harpsichord.,Ein schönerinische Frau spielt eine Hohnecklä
Vor einem Gebäude sieht ein uniformierter Sicherheitsbeamter hinter einem Zaun in die Kamera.,"Outside a building, a uniformed security guard looks at the camera from behind a fence.","Unter einem Bau, ein bewusstes Sicherheitsbev"
Die junge Dame sieht auf die Pizza.,The young lady is looking at the pizza.,"Die jungen Mädchen liest die Pizza.
"
Ein Mann mit freiem Oberkörper und Shorts steht auf ein paar Steinen und angelt.,A shirtless man in shorts is fishing while standing on some rocks.,"Ein Mann ohne Herzschutzkopf im Schuhe hatte, die e"
Ein Mädchen in einer Rettungsweste treibt im Wasser.,A girl wearing a life vest floats in water.,"Eine Tochter, der ein Vaterlaufsschalen schwimm"
Ein Mann in Uniform und ein Mann in einem blauen Hemd stehen vor einem Wagen.,A man in uniform and a man in a blue shirt are standing in front of a truck.,Der Mann mit der Uniform und dem Blauemittelkurtz bleibt bei
Leute sitzen in einem Zug.,People sit inside a train.,"Er sind heute Abend ins Eisenbahn.
"
Ein Junge schaukelt mit den Füßen in der Luft in einem Wald.,A kid swings with his feet up in the air in a forest.,"Ein Kind gibt sich mit seinem Hals im Wald an, bevor er i"
Ein Mann in einem roten Hemd betritt ein Etablissement.,A man in a red shirt entering an establishment.,Ein Mann mit einem roten T-Shirt entdeckt im Gewandhaus
Zwei Männer in Badehosen springen auf einem mäßig belebten Strand in die Luft.,Two men wearing swim trunks jump in the air at a moderately populated beach.,Zwei Mann mit Schwimmenkappen spricht und nach dem anderen im moder
Ein kleines Kind kocht mit einer anderen Person.,A toddler is cooking with another person.,Eine Tochter mit anderen Person enthält sich auf einem K
