de,en,predicted_de
"Ein Mann mit einem orangefarbenen Hut, der etwas anstarrt.",A man in an orange hat starring at something.,"Ein Mann mit einem orangen Hut starbt etwas auf. 


"
Ein Boston Terrier läuft über saftig-grünes Gras vor einem weißen Zaun.,A Boston Terrier is running on lush green grass in front of a white fence.,Ein Bostonterrier rennt vor einer weißen Zaun durch le
Ein Mädchen in einem Karateanzug bricht ein Brett mit einem Tritt.,A girl in karate uniform breaking a stick with a front kick.,"Ein Karate-Uniformer, die einen Stock mit einer Frontkicksbro"
Fünf Leute in Winterjacken und mit Helmen stehen im Schnee mit Schneemobilen im Hintergrund.,"Five people wearing winter jackets and helmets stand in the snow, with snowmobiles in the background.","Fünf Menschen mit Winterjacken und Helmen stehen im Schnee, im"
Leute Reparieren das Dach eines Hauses.,People are fixing the roof of a house.,"Personen bauen die Regel eines Hauses. 

"
"Ein hell gekleideter Mann fotografiert eine Gruppe von Männern in dunklen Anzügen und mit Hüten, die um eine Frau in einem trägerlosen Kleid herum stehen.",A man in light colored clothing photographs a group of men wearing dark suits and hats standing around a woman dressed in a strapless gown.,Ein Mann im hellen Kleid fotografiert eine Gruppe von M
Eine Gruppe von Menschen steht vor einem Iglu.,A group of people standing in front of an igloo.,"Eine Gruppe von Personen steht vor einem Igloo. 


"
"Ein Junge in einem roten Trikot versucht, die Home Base zu erreichen, während der Catcher im blauen Trikot versucht, ihn zu fangen.","A boy in a red uniform is attempting to avoid getting out at home plate, while the catcher in the blue uniform is attempting to catch him.",Ein Junge im roten Anzug versucht einen Hintergrund an
Ein Typ arbeitet an einem Gebäude.,A guy works on a building.,"Ein Mann arbeitet an einem Gebäude. 


Exercise 2"
Ein Mann in einer Weste sitzt auf einem Stuhl und hält Magazine.,A man in a vest is sitting in a chair and holding magazines.,Ein Mann mit Weste sitzt an einem Stuhl und hält Mag
Eine Mutter und ihr kleiner Sohn genießen einen schönen Tag im Freien.,A mother and her young song enjoying a beautiful day outside.,Eine Mutter und ihre kleines Sonnenspieler genieß
"Männer, die Volleyball spielen, wobei ein Mann den Ball nicht trifft, während seine Hände immer noch in der Luft sind.","Men playing volleyball, with one player missing the ball but hands still in the air.",Männer spielen Volleyball und ein Spieler ist nicht die
"Eine Frau, die in einer Küche eine Schale mit Essen hält.",A woman holding a bowl of food in a kitchen.,Eine Frau hält ein Teller mit Essen im Küchen zus
"Ein sitzender Mann, der an einem Tisch in seinem Haus mit einem Werkzeug arbeitet.",Man sitting using tool at a table in his home.,Ein Mann sitzt mit einer Maschine bei einem Tisch im H
Drei Leute sitzen in einer Höhle.,Three people sit in a cave.,"Drei Personen sind im Kastelle herum. 


"
Ein Mädchen in einem Jeanskleid läuft über einen erhöhten Schwebebalken.,A girl in a jean dress is walking along a raised balance beam.,Ein Mädchen in einem Jeanskirt geht an einer gep
Eine Blondine hält mit einem Mann im Sand Händchen.,A blond holding hands with a guy in the sand.,"Ein blonde, die Hand mit einem Typ im Sand hält. 

"
Eine Frau in einem Grauen Pulli und mit einer schwarzen Baseballmütze steht in einem Geschäft in der Schlange.,A woman in a gray sweater and black baseball cap is standing in line at a shop.,Eine Frau mit grauer Pullover und schwarzem Baseballmütze ste
Die Person im gestreiften Shirt klettert auf einen Berg.,The person in the striped shirt is mountain climbing.,Der Person im gestreiften Hemd klettert auf den Berg hoch. 
"Zwei Männer tun so als seien sie Statuen, während Frauen ihnen zusehen.",Two men pretend to be statutes while women look on.,"Zwei Männer spielen, wobei sie auf Statuettes"
"Leute, die vor einem Gebäude stehen.",People standing outside of a building.,"Menschen stehen im Freien vor einem Gebäude. 


"
Eine Teenagerin spielt bei einem Spiel Trompete auf dem Feld.,A teenager plays her trumpet on the field at a game.,"Ein Teenager spielt in einer Spielfeld Trompete. 


"
Eine Frau macht einen Salto auf einem Trampolin am Strand.,A woman does a somersault on a trampoline on the beach.,Eine Frau macht einen Sommerrücken an dem Trampolin am
Ein Mann steht bei einigen Spielautomaten in einer Bar.,A man is standing by a group of video games in a bar.,"Ein Mann steht bei einer Bar an Video-Spiele. 


"
Eine Frau verwendet eine Bohrmaschine während ein Mann sie fotografiert.,A woman uses a drill while another man takes her picture.,"Eine Frau macht ein Gerädler, wird von einem anderen"
Eine Frau in einem pinken Pulli und einer Schürze putzt einen Tisch mit einem Schwamm.,"A woman in a pink sweater and an apron, cleaning a table with a sponge.",Eine Frau mit rosa Pullover und Schürze bereitet ein Tisch
Ein Mann schneidet Äste von Bäumen.,A man cutting branches of trees.,"Ein Mann schneidet Brücken auf Bäumen. 


"
"Eine Gruppe Asiatischer Jungen wartet am Grill darauf, dass Fleisch gar wird.",Group of Asian boys wait for meat to cook over barbecue.,"Eine Gruppe asiatischer Jungen wartet auf einem Grill zu, d"
"Frauen, die traditionelle Kleidung tragen, spielen das Leben Einheimischer nach.","Women, wearing traditional clothing, are reenacting native life.",Frauen in traditioneller Kleidung beim Rekreativ zuschauern
Ein Mann drückt den Kopf eines anderen Mannes nach unten und will ihm ins Gesicht schlagen.,One man holds another man's head down and prepares to punch him in the face.,Ein Mann hält einer anderen Männer die Kopf bedeck
Sechs Leute fahren Mountainbikes durch eine Dschungellandschaft.,Six people ride mountain bikes through a jungle environment.,Sechs Menschen fahren mit Mountainbikes durch einen Wildnis. 
2 blonde Mädchen sitzen auf einem Absatz auf einem belebten Platz.,2 blond girls are sitting on a ledge in a crowded plaza.,Zwei blonde Mädchen sitzen an einer Treppe im vollen Platz.
Ein Kind planscht im Wasser.,A child is splashing in the water,"Ein Kind schwimmt im Wasser. 


"
"Drei Leute sitzen an einem Picknicktisch vor einem Gebäude, das wie der Union Jack bemalt ist.",Three people sit at a picnic table outside of a building painted like a union jack.,Drei Personen sitzen an einem Picnictisch vor einer Gebä
3 Jungen stehen in ihren Badehosen auf einem Pier.,3 boys are standing on a pier in their bathing suits.,"Drei Jungen stehen im Badeanzug an einem Pier. 

"
"Ein Angestellter reicht einer Frau auf einem Markt eine Tüte, während sie auf Eis gelegten Fisch begutachtet.",An employee is handing a woman a bag while she is browsing through fish on ice at a street market.,"Ein Arbeiter hängt eine Frau einen Tasche, wä"
