en,de,ende
A man in an orange hat starring at something.,"Ein Mann mit einem orangefarbenen Hut, der etwas anstarrt.","Ein Mann in einem orangenen Hut, der auf etwas blickt."
A Boston Terrier is running on lush green grass in front of a white fence.,Ein Boston Terrier läuft über saftig-grünes Gras vor einem weißen Zaun.,Ein Boston Terrier läuft auf üppigem grünem Gras vor einem weißen Zaun.
A girl in karate uniform breaking a stick with a front kick.,Ein Mädchen in einem Karateanzug bricht ein Brett mit einem Tritt.,"Ein Mädchen in Karate Uniform, der einen Stock mit einem Vorderschlag gebrochen hat."
"Five people wearing winter jackets and helmets stand in the snow, with snowmobiles in the background.",Fünf Leute in Winterjacken und mit Helmen stehen im Schnee mit Schneemobilen im Hintergrund.,"Fünf Menschen in Winterjacken und Helmen stehen im Schnee, mit Schneemobilen im Hintergrund."
People are fixing the roof of a house.,Leute Reparieren das Dach eines Hauses.,Die Leute reparieren das Dach eines Hauses.
A man in light colored clothing photographs a group of men wearing dark suits and hats standing around a woman dressed in a strapless gown.,"Ein hell gekleideter Mann fotografiert eine Gruppe von Männern in dunklen Anzügen und mit Hüten, die um eine Frau in einem trägerlosen Kleid herum stehen.","Ein Mann in hellfarbiger Kleidung fotografiert eine Gruppe von Männern, die dunkle Anzüge und Hüte tragen und um eine Frau in einem trägerlosen Kleid stehen."
A group of people standing in front of an igloo.,Eine Gruppe von Menschen steht vor einem Iglu.,"Eine Gruppe von Menschen, die vor einem Igloo stehen."
"A boy in a red uniform is attempting to avoid getting out at home plate, while the catcher in the blue uniform is attempting to catch him.","Ein Junge in einem roten Trikot versucht, die Home Base zu erreichen, während der Catcher im blauen Trikot versucht, ihn zu fangen.","Ein Junge in roter Uniform versucht zu vermeiden, am Heimplatz zu gelangen, während der Catcher in blauer Uniform versucht, ihn zu fangen."
A guy works on a building.,Ein Typ arbeitet an einem Gebäude.,Ein Mann arbeitet an einem Gebäude.
A man in a vest is sitting in a chair and holding magazines.,Ein Mann in einer Weste sitzt auf einem Stuhl und hält Magazine.,Ein Mann in einem Weste sitzt in einem Stuhl und hält Zeitschriften.
A mother and her young song enjoying a beautiful day outside.,Eine Mutter und ihr kleiner Sohn genießen einen schönen Tag im Freien.,Eine Mutter und ihr junges Lied genießen einen schönen Tag draußen.
"Men playing volleyball, with one player missing the ball but hands still in the air.","Männer, die Volleyball spielen, wobei ein Mann den Ball nicht trifft, während seine Hände immer noch in der Luft sind.","Männer spielen Volleyball, mit einem Spieler fehlt der Ball, aber Hände immer noch in der Luft."
A woman holding a bowl of food in a kitchen.,"Eine Frau, die in einer Küche eine Schale mit Essen hält.","Eine Frau, die in einer Küche eine Schüssel mit Lebensmitteln hält."
Man sitting using tool at a table in his home.,"Ein sitzender Mann, der an einem Tisch in seinem Haus mit einem Werkzeug arbeitet.",Mann sitzt mit Werkzeug an einem Tisch in seinem Haus.
Three people sit in a cave.,Drei Leute sitzen in einer Höhle.,Drei Personen sitzen in einer Höhle.
A girl in a jean dress is walking along a raised balance beam.,Ein Mädchen in einem Jeanskleid läuft über einen erhöhten Schwebebalken.,Ein Mädchen in einem Jean-Kleid geht entlang eines erhöhten Gleichgewichtsstrahls.
A blond holding hands with a guy in the sand.,Eine Blondine hält mit einem Mann im Sand Händchen.,Ein blonder hält die Hände mit einem Mann im Sand.
A woman in a gray sweater and black baseball cap is standing in line at a shop.,Eine Frau in einem Grauen Pulli und mit einer schwarzen Baseballmütze steht in einem Geschäft in der Schlange.,Eine Frau in grauem Pullover und schwarzer Baseballmütze steht in der Reihe in einem Laden.
The person in the striped shirt is mountain climbing.,Die Person im gestreiften Shirt klettert auf einen Berg.,Die Person im gestreiften Hemd ist Bergsteiger.
Two men pretend to be statutes while women look on.,"Zwei Männer tun so als seien sie Statuen, während Frauen ihnen zusehen.","Zwei Männer scheinen Gesetze zu sein, während Frauen darauf schauen."
People standing outside of a building.,"Leute, die vor einem Gebäude stehen.","Menschen, die außerhalb eines Gebäudes stehen."
A teenager plays her trumpet on the field at a game.,Eine Teenagerin spielt bei einem Spiel Trompete auf dem Feld.,Ein Jugendlicher spielt bei einem Spiel auf dem Spielfeld ihre Trompete.
A woman does a somersault on a trampoline on the beach.,Eine Frau macht einen Salto auf einem Trampolin am Strand.,Eine Frau macht einen Sprung auf einem Trampolin am Strand.
A man is standing by a group of video games in a bar.,Ein Mann steht bei einigen Spielautomaten in einer Bar.,Ein Mann steht bei einer Gruppe von Videospielen in einer Bar.
A woman uses a drill while another man takes her picture.,Eine Frau verwendet eine Bohrmaschine während ein Mann sie fotografiert.,"Eine Frau benutzt ein Bohrgerät, während ein anderer Mann sie fotografiert."
"A woman in a pink sweater and an apron, cleaning a table with a sponge.",Eine Frau in einem pinken Pulli und einer Schürze putzt einen Tisch mit einem Schwamm.,"Eine Frau in einem rosa Pullover und einerpron, die einen Tisch mit einem Schwamm reinigt."
A man cutting branches of trees.,Ein Mann schneidet Äste von Bäumen.,Ein Mann schneidet Äste von Bäumen.
Group of Asian boys wait for meat to cook over barbecue.,"Eine Gruppe Asiatischer Jungen wartet am Grill darauf, dass Fleisch gar wird.","Gruppe asiatischer Jungs warten auf Fleisch, um über Grill zu kochen."
"Women, wearing traditional clothing, are reenacting native life.","Frauen, die traditionelle Kleidung tragen, spielen das Leben Einheimischer nach.","Frauen, die traditionelle Kleidung tragen, reenacting native Leben."
One man holds another man's head down and prepares to punch him in the face.,Ein Mann drückt den Kopf eines anderen Mannes nach unten und will ihm ins Gesicht schlagen.,"Ein Mann hält den Kopf eines anderen Mannes nieder und bereitet sich vor, ihn ins Gesicht zu schlagen."
Six people ride mountain bikes through a jungle environment.,Sechs Leute fahren Mountainbikes durch eine Dschungellandschaft.,Sechs Menschen fahren mit dem Mountainbike durch einen Dschungel.
2 blond girls are sitting on a ledge in a crowded plaza.,2 blonde Mädchen sitzen auf einem Absatz auf einem belebten Platz.,2 blonde Mädchen sitzen auf einem Balken in einem überfüllten Platz.
A child is splashing in the water,Ein Kind planscht im Wasser.,Ein Kind platzt im Wasser
Three people sit at a picnic table outside of a building painted like a union jack.,"Drei Leute sitzen an einem Picknicktisch vor einem Gebäude, das wie der Union Jack bemalt ist.","Drei Leute sitzen an einem Picknicktisch vor einem Gebäude, das wie ein Gewerkschaftsjack gemalt ist."
3 boys are standing on a pier in their bathing suits.,3 Jungen stehen in ihren Badehosen auf einem Pier.,3 Jungs stehen auf einem Pier in ihren Badeanzügen.
An employee is handing a woman a bag while she is browsing through fish on ice at a street market.,"Ein Angestellter reicht einer Frau auf einem Markt eine Tüte, während sie auf Eis gelegten Fisch begutachtet.","Ein Mitarbeiter gibt einer Frau eine Tasche, während sie auf einem Straßenmarkt Fische auf Eis durchschaut."
A pretty woman plays a harpsichord.,Eine schöne Frau spielt auf einer Harfe.,Eine hübsche Frau spielt ein Cembalo.
"Outside a building, a uniformed security guard looks at the camera from behind a fence.",Vor einem Gebäude sieht ein uniformierter Sicherheitsbeamter hinter einem Zaun in die Kamera.,Außerhalb eines Gebäudes schaut ein uniformiertes Sicherheitspersonal hinter einem Zaun die Kamera an.
The young lady is looking at the pizza.,Die junge Dame sieht auf die Pizza.,Die junge Frau schaut auf die Pizza.
A shirtless man in shorts is fishing while standing on some rocks.,Ein Mann mit freiem Oberkörper und Shorts steht auf ein paar Steinen und angelt.,"Ein Shirtloser Mann in Shorts fliegt, während er auf einigen Felsen steht."
A girl wearing a life vest floats in water.,Ein Mädchen in einer Rettungsweste treibt im Wasser.,Ein Mädchen mit einem Rettungsweste schwebt im Wasser.
A man in uniform and a man in a blue shirt are standing in front of a truck.,Ein Mann in Uniform und ein Mann in einem blauen Hemd stehen vor einem Wagen.,Ein Mann in Uniform und ein Mann in blauem Hemd stehen vor einem LKW.
People sit inside a train.,Leute sitzen in einem Zug.,Die Leute sitzen in einem Zug.
