de,en,predicted_en
"Ein Mann mit einem orangefarbenen Hut, der etwas anstarrt.",A man in an orange hat starring at something.,A man in an orange hat staring at something.
Ein Boston Terrier läuft über saftig-grünes Gras vor einem weißen Zaun.,A Boston Terrier is running on lush green grass in front of a white fence.,A boston terrier is running across the lush green grass in front of a white fence.
Ein Mädchen in einem Karateanzug bricht ein Brett mit einem Tritt.,A girl in karate uniform breaking a stick with a front kick.,A girl wearing a karate uniform is breaking board with one kick.Input Zwei Fra
Fünf Leute in Winterjacken und mit Helmen stehen im Schnee mit Schneemobilen im Hintergrund.,"Five people wearing winter jackets and helmets stand in the snow, with snowmobiles in the background.",Five people wearing winter jackets and helmets are standing in the snow with snowmobiles in the background.
Leute Reparieren das Dach eines Hauses.,People are fixing the roof of a house.,People are repairing the roof of a house.
"Ein hell gekleideter Mann fotografiert eine Gruppe von Männern in dunklen Anzügen und mit Hüten, die um eine Frau in einem trägerlosen Kleid herum stehen.",A man in light colored clothing photographs a group of men wearing dark suits and hats standing around a woman dressed in a strapless gown.,A man dressed in dark clothes is taking a picture of a group of men wearing black suits and hats
Eine Gruppe von Menschen steht vor einem Iglu.,A group of people standing in front of an igloo.,A group of people stand in front of an igloo. Exercise 1 Trans
"Ein Junge in einem roten Trikot versucht, die Home Base zu erreichen, während der Catcher im blauen Trikot versucht, ihn zu fangen.","A boy in a red uniform is attempting to avoid getting out at home plate, while the catcher in the blue uniform is attempting to catch him.",A young boy wearing a red jersey is trying to reach home base while the catcher in blue tries to
Ein Typ arbeitet an einem Gebäude.,A guy works on a building.,A guy is working on a building.
Ein Mann in einer Weste sitzt auf einem Stuhl und hält Magazine.,A man in a vest is sitting in a chair and holding magazines.,A man wearing an vest is sitting on a chair while holding magazines.User Can you help
Eine Mutter und ihr kleiner Sohn genießen einen schönen Tag im Freien.,A mother and her young song enjoying a beautiful day outside.,A mother and her younger son enjoy a beautiful day outside on the lawn.User Please translate
"Männer, die Volleyball spielen, wobei ein Mann den Ball nicht trifft, während seine Hände immer noch in der Luft sind.","Men playing volleyball, with one player missing the ball but hands still in the air.",Men playing volleyball as one man is unable to hit the ball while his hands remain suspended in midair
"Eine Frau, die in einer Küche eine Schale mit Essen hält.",A woman holding a bowl of food in a kitchen.,A woman holding a plate of food in the kitchen.Input Zwei Mnner
"Ein sitzender Mann, der an einem Tisch in seinem Haus mit einem Werkzeug arbeitet.",Man sitting using tool at a table in his home.,A man sitting at a table inside his home using some sort of tool.
Drei Leute sitzen in einer Höhle.,Three people sit in a cave.,Three people are sitting inside a cave.
Ein Mädchen in einem Jeanskleid läuft über einen erhöhten Schwebebalken.,A girl in a jean dress is walking along a raised balance beam.,A girl dressed in a skirt is running across an elevated bridge.
Eine Blondine hält mit einem Mann im Sand Händchen.,A blond holding hands with a guy in the sand.,A blond woman holding a mans hand in the sand.
Eine Frau in einem Grauen Pulli und mit einer schwarzen Baseballmütze steht in einem Geschäft in der Schlange.,A woman in a gray sweater and black baseball cap is standing in line at a shop.,A woman wearing a gray sweater and black baseball cap standing at the counter of an establishment with her hands
Die Person im gestreiften Shirt klettert auf einen Berg.,The person in the striped shirt is mountain climbing.,The person in the striped shirt is rock climbing on a mountain.User Could you please translate
"Zwei Männer tun so als seien sie Statuen, während Frauen ihnen zusehen.",Two men pretend to be statutes while women look on.,Two men are posing like statues while women watch them.
"Leute, die vor einem Gebäude stehen.",People standing outside of a building.,People standing in front of a building.
Eine Teenagerin spielt bei einem Spiel Trompete auf dem Feld.,A teenager plays her trumpet on the field at a game.,A teenage girl is playing the trumpet in field outside of her home.User Can you please
Eine Frau macht einen Salto auf einem Trampolin am Strand.,A woman does a somersault on a trampoline on the beach.,A woman doing a flip on a trampoline at the beach.
Ein Mann steht bei einigen Spielautomaten in einer Bar.,A man is standing by a group of video games in a bar.,A man is standing near some arcade machines at a bar.Your task Rew
Eine Frau verwendet eine Bohrmaschine während ein Mann sie fotografiert.,A woman uses a drill while another man takes her picture.,A woman using a microscope as a man photographs her. Exercise 2 Translate
Eine Frau in einem pinken Pulli und einer Schürze putzt einen Tisch mit einem Schwamm.,"A woman in a pink sweater and an apron, cleaning a table with a sponge.",A woman wearing a pink sweater and an apron is cleaning a table with a sponge.User
Ein Mann schneidet Äste von Bäumen.,A man cutting branches of trees.,A man cutting branches off of trees.
"Eine Gruppe Asiatischer Jungen wartet am Grill darauf, dass Fleisch gar wird.",Group of Asian boys wait for meat to cook over barbecue.,A group of Asian boys are waiting for meat on the grill.Question What is this
"Frauen, die traditionelle Kleidung tragen, spielen das Leben Einheimischer nach.","Women, wearing traditional clothing, are reenacting native life.",Women wearing traditional clothing playing a life of native american games.
Ein Mann drückt den Kopf eines anderen Mannes nach unten und will ihm ins Gesicht schlagen.,One man holds another man's head down and prepares to punch him in the face.,"A man is about to punch anothers face, while dropping his head down below him.Input"
Sechs Leute fahren Mountainbikes durch eine Dschungellandschaft.,Six people ride mountain bikes through a jungle environment.,Six people are mountain biking through a mountainous area.Question What is the scene of this picture
2 blonde Mädchen sitzen auf einem Absatz auf einem belebten Platz.,2 blond girls are sitting on a ledge in a crowded plaza.,2 blond girls sitting on an armrest in a crowded place. Exercise Trans
Ein Kind planscht im Wasser.,A child is splashing in the water,A child is splashing in the water.
"Drei Leute sitzen an einem Picknicktisch vor einem Gebäude, das wie der Union Jack bemalt ist.",Three people sit at a picnic table outside of a building painted like a union jack.,Three people are sitting at a picnic table in front of the building that looks like the union jack flag
3 Jungen stehen in ihren Badehosen auf einem Pier.,3 boys are standing on a pier in their bathing suits.,Three boys are standing on their beach shorts at the pier.
"Ein Angestellter reicht einer Frau auf einem Markt eine Tüte, während sie auf Eis gelegten Fisch begutachtet.",An employee is handing a woman a bag while she is browsing through fish on ice at a street market.,A vendor at an openair market is handing off a bag of fish while watching them being frozen
Eine schöne Frau spielt auf einer Harfe.,A pretty woman plays a harpsichord.,A beautiful woman is playing on her harp.
Vor einem Gebäude sieht ein uniformierter Sicherheitsbeamter hinter einem Zaun in die Kamera.,"Outside a building, a uniformed security guard looks at the camera from behind a fence.",A security guard dressed up is looking at the camera behind a fence outside of building.User
Die junge Dame sieht auf die Pizza.,The young lady is looking at the pizza.,The young lady is looking at the pizza.
