de,en,predicted_en
"Ein Mann mit einem orangefarbenen Hut, der etwas anstarrt.",A man in an orange hat starring at something.,A man with a yellow hat wearing something on his head.
Ein Boston Terrier läuft über saftig-grünes Gras vor einem weißen Zaun.,A Boston Terrier is running on lush green grass in front of a white fence.,A Boston terrier is running across a green grassy field next to a white fence.
Ein Mädchen in einem Karateanzug bricht ein Brett mit einem Tritt.,A girl in karate uniform breaking a stick with a front kick.,A girl wearing a karate suit is striking down with one arm while on her back.
Fünf Leute in Winterjacken und mit Helmen stehen im Schnee mit Schneemobilen im Hintergrund.,"Five people wearing winter jackets and helmets stand in the snow, with snowmobiles in the background.",Five people wearing winter jackets and helmets stand under snow covered with snowmobile vehicles behind them.
Leute Reparieren das Dach eines Hauses.,People are fixing the roof of a house.,People repairing a house roof.
"Ein hell gekleideter Mann fotografiert eine Gruppe von Männern in dunklen Anzügen und mit Hüten, die um eine Frau in einem trägerlosen Kleid herum stehen.",A man in light colored clothing photographs a group of men wearing dark suits and hats standing around a woman dressed in a strapless gown.,A bearded man is photographing a group of men wearing dark clothes and hats as they stand next to
Eine Gruppe von Menschen steht vor einem Iglu.,A group of people standing in front of an igloo.,A group of people standing in front of an igloo.
"Ein Junge in einem roten Trikot versucht, die Home Base zu erreichen, während der Catcher im blauen Trikot versucht, ihn zu fangen.","A boy in a red uniform is attempting to avoid getting out at home plate, while the catcher in the blue uniform is attempting to catch him.",A boy is trying to catch the ball while a catcher in a blue jersey tries as well. 
Ein Typ arbeitet an einem Gebäude.,A guy works on a building.,A typist is working at a building.
Ein Mann in einer Weste sitzt auf einem Stuhl und hält Magazine.,A man in a vest is sitting in a chair and holding magazines.,A man sitting on a stool with magazine.
Eine Mutter und ihr kleiner Sohn genießen einen schönen Tag im Freien.,A mother and her young song enjoying a beautiful day outside.,A mother and her little boy are enjoying a beautiful day in the park together.
"Männer, die Volleyball spielen, wobei ein Mann den Ball nicht trifft, während seine Hände immer noch in der Luft sind.","Men playing volleyball, with one player missing the ball but hands still in the air.",Men playing volleyball where one man is not hitting the ball while his hands are still out of the air
